uq,error
0.28500000000000003,0.0
0.06899999999999995,0.0
0.45099999999999996,0.0
0.844,0.5571428571428572
0.5640000000000001,0.4696969696969697
0.22999999999999998,0.0
0.09199999999999997,0.0
0.781,0.0
0.649,0.0
0.33099999999999996,0.0
0.47,0.1964285714285714
0.753,0.38181818181818183
0.05500000000000005,0.0
0.43899999999999995,0.4307692307692308
0.40900000000000003,0.0
0.29100000000000004,0.0
0.41500000000000004,0.0
0.606,0.7
0.22699999999999998,0.467741935483871
0.08299999999999996,0.0
0.52,0.25
0.5349999999999999,0.0
0.31599999999999995,0.0
0.627,0.7111111111111111
0.262,0.0
0.8089999999999999,0.7413793103448276
0.758,0.5111111111111111
0.44899999999999995,0.47457627118644063
0.869,0.37037037037037035
0.08899999999999997,0.0
0.562,0.0
0.5389999999999999,0.0
0.355,0.0
0.688,0.4084507042253521
0.863,0.4516129032258065
0.789,0.4931506849315068
0.5720000000000001,0.5333333333333333
0.28800000000000003,0.0
0.587,0.0
0.42500000000000004,0.2666666666666667
0.21999999999999997,0.0
0.22499999999999998,0.11764705882352944
0.5760000000000001,0.09677419354838712
0.8109999999999999,0.0
0.776,0.3538461538461538
0.12,0.0
0.18999999999999995,0.0
0.19399999999999995,0.0
0.6579999999999999,0.36923076923076925
0.41500000000000004,0.32307692307692304
0.41400000000000003,0.4933333333333333
0.725,0.47058823529411764
0.5880000000000001,0.0
0.30300000000000005,0.0
0.29000000000000004,0.0
0.09599999999999997,0.0
0.35,0.0
0.768,0.25
0.5369999999999999,0.421875
0.5329999999999999,0.20967741935483875
0.242,0.0
0.29400000000000004,0.0
0.598,0.0
0.917,0.5074626865671642
0.604,0.59375
0.32199999999999995,0.7962962962962963
0.363,0.0
0.72,0.24489795918367352
0.31699999999999995,0.0
0.09399999999999997,0.0
0.391,0.0
0.06999999999999995,0.0
0.626,0.6231884057971014
0.352,0.0
0.34199999999999997,0.0
0.603,0.19718309859154926
0.10099999999999998,0.0
0.031000000000000028,0.0
0.367,0.0
0.357,0.0
0.755,0.40740740740740744
0.5720000000000001,0.6271186440677966
0.6930000000000001,0.4387755102040817
0.548,0.0
0.712,0.39622641509433965
0.138,0.0
0.0020000000000000018,0.0
0.10099999999999998,0.0
0.46399999999999997,0.0
0.6679999999999999,0.0
0.5800000000000001,0.0
0.853,0.49382716049382713
0.482,0.0
0.373,0.0
0.527,0.0
0.604,0.22857142857142854
0.09599999999999997,0.0
0.252,0.18965517241379315
0.41800000000000004,0.0
0.33199999999999996,0.2678571428571429
0.01200000000000001,0.0
0.688,0.4545454545454546
0.37,0.0
0.269,0.0
0.42200000000000004,0.0
0.64,0.6599999999999999
0.773,0.0
0.783,0.27941176470588236
0.361,0.0
0.718,0.28378378378378377
0.18500000000000005,0.0
0.30900000000000005,0.0
0.22899999999999998,0.0
0.369,0.0
0.268,0.5
0.42100000000000004,0.0
0.601,0.23529411764705888
0.21799999999999997,0.0
0.040000000000000036,0.0
0.511,0.2432432432432432
0.29400000000000004,0.0
0.44299999999999995,0.6304347826086957
0.36,0.13793103448275867
0.15700000000000003,0.0
0.502,0.0
0.239,0.0
0.6819999999999999,0.38
0.22099999999999997,0.0
0.694,0.0
0.567,0.0
0.688,0.4375
0.39,0.7222222222222222
0.41700000000000004,0.0
0.363,0.6551724137931034
0.344,0.0
0.727,0.24096385542168675
0.03500000000000003,0.0
0.32299999999999995,0.0
0.14900000000000002,0.0
0.5660000000000001,0.0
0.10999999999999999,0.0
0.23399999999999999,0.0
0.06899999999999995,0.0
0.279,0.0
0.386,0.0
0.29800000000000004,0.0
0.774,0.0
0.10099999999999998,0.0
0.18400000000000005,0.5192307692307692
0.32499999999999996,0.0
0.32599999999999996,0.0
0.546,0.0
0.46599999999999997,0.0
0.741,0.0
0.523,0.10447761194029848
0.050000000000000044,0.0
0.30900000000000005,0.0
0.08999999999999997,0.0
0.40700000000000003,0.0
0.754,0.0
0.746,0.1568627450980392
0.14600000000000002,0.4204545454545454
0.687,0.3571428571428571
0.7170000000000001,0.5
0.20399999999999996,0.6229508196721312
0.15900000000000003,0.0
0.571,0.0
0.08399999999999996,0.25
0.739,0.14814814814814814
0.536,0.2777777777777778
0.397,0.0
0.5820000000000001,0.5365853658536586
0.716,0.4242424242424242
0.73,0.49090909090909096
0.41200000000000003,0.17647058823529416
0.43600000000000005,0.5714285714285714
0.6950000000000001,0.0
0.246,0.0
0.29200000000000004,0.6
0.33699999999999997,0.0
0.45899999999999996,0.17582417582417587
0.46799999999999997,0.0
0.09799999999999998,0.0
0.656,0.48
0.15600000000000003,0.0
0.6950000000000001,0.42647058823529416
0.506,0.6190476190476191
0.724,0.3529411764705882
0.402,0.13432835820895528
0.027000000000000024,0.0
0.491,0.0
0.355,0.0
0.624,0.5238095238095238
0.598,0.452054794520548
0.128,0.0
0.723,0.0
0.128,0.0
0.867,0.7391304347826086
0.41800000000000004,0.0
0.802,0.8367346938775511
0.40800000000000003,0.4126984126984127
0.07599999999999996,0.0
0.5820000000000001,0.0
0.42800000000000005,0.0
0.236,0.0
0.5840000000000001,0.0
0.619,0.0
0.613,0.0
0.38,0.0
0.28400000000000003,0.0
0.04400000000000004,0.0
0.353,0.3088235294117647
0.29700000000000004,0.0
0.388,0.0
0.646,0.6304347826086957
0.15500000000000003,0.0
0.07899999999999996,0.0
0.577,0.37777777777777777
0.46699999999999997,0.5625
0.236,0.0
0.646,0.0
0.622,0.7538461538461538
0.44699999999999995,0.38095238095238093
0.69,0.22499999999999998
0.503,0.0
0.645,0.29166666666666663
0.09499999999999997,0.0
0.348,0.5531914893617021
0.42600000000000005,0.0
0.32299999999999995,0.0
0.472,0.4339622641509434
0.15500000000000003,0.0
0.6659999999999999,0.5443037974683544
0.623,0.4173913043478261
0.596,0.0
0.010000000000000009,0.0
0.63,0.0
0.507,0.0
0.679,0.18965517241379315
0.754,0.1724137931034483
0.19299999999999995,0.0
0.10999999999999999,0.0
0.4,0.0
0.353,0.0
0.638,0.0
0.487,0.0
0.63,0.0
0.33299999999999996,0.0
0.243,0.0
0.773,0.4157303370786517
0.05800000000000005,0.0
0.522,0.0
0.30600000000000005,0.0
0.23099999999999998,0.0
0.49,0.0
0.45799999999999996,0.38596491228070173
0.503,0.0
0.827,0.4044943820224719
0.585,0.17543859649122806
0.28500000000000003,0.0
0.08999999999999997,0.0
0.17200000000000004,0.0
0.13,0.0
0.261,0.0
0.259,0.16000000000000003
0.648,0.36923076923076925
0.496,0.16000000000000003
0.368,0.0
0.29000000000000004,0.0
0.39,0.0
0.642,0.3921568627450981
0.728,0.8163265306122449
0.139,0.0
0.17900000000000005,0.0
0.38,0.0
0.507,0.56
0.258,0.0
0.268,0.0
0.754,0.5185185185185186
0.16100000000000003,0.0
0.377,0.0
0.563,0.0
0.30800000000000005,0.0
0.43799999999999994,0.24390243902439024
0.07499999999999996,0.0
0.14,0.0
0.040000000000000036,0.0
0.21499999999999997,0.0
0.32299999999999995,0.0
0.062000000000000055,0.8085106382978724
0.361,0.0
0.649,0.3275862068965517
0.5369999999999999,0.0
0.618,0.5625
0.369,0.0
0.10299999999999998,0.0
0.10199999999999998,0.0
0.43999999999999995,0.4098360655737705
0.75,0.23333333333333328
