uq,error
-2.99668558438619,0.36
-3.0895503759384155,0.3939393939393939
-2.3693286577860517,0.3589743589743589
-3.0259954929351807,0.3818181818181818
-2.817257563273112,0.339622641509434
-3.073083877563477,0.5111111111111111
-3.2421836058298745,0.359375
-2.6800349156061807,0.3269230769230768
-3.266670743624369,0.3207547169811321
-3.3176302512486777,0.2222222222222222
-3.0687934160232544,0.288135593220339
-2.717340032259623,0.4509803921568627
-3.1887081066767373,0.3275862068965517
-3.137537201245626,0.3103448275862068
-2.938069502512614,0.2181818181818181
-2.5743290980656943,0.5576923076923077
-2.707618514696757,0.2439024390243902
-2.243886232376098,0.5945945945945945
-2.8884185949961343,0.2549019607843137
-3.393305857976278,0.2077922077922077
-3.293993274370829,0.5135135135135135
-2.6592408816019693,0.2790697674418605
-2.3381704886754355,0.4571428571428572
-2.472687085469564,0.3939393939393939
-2.365624070167541,0.4594594594594594
-2.5888007481892905,0.409090909090909
-2.5927533706029258,0.4888888888888889
-2.971821904182434,0.2352941176470588
-3.3709448178609214,0.2894736842105263
-2.870246171951294,0.3199999999999999
-3.0712823470433555,0.4736842105263158
-3.73817523320516,0.2121212121212121
-2.656369090080261,0.2195121951219512
-2.965843796730041,0.2678571428571429
-2.970112562179565,0.2363636363636363
-3.304519375165304,0.2741935483870967
-2.804481546084086,0.3055555555555556
-3.160650372505188,0.35
-3.0952556133270264,0.21875
-2.7752299706141152,0.48
-3.156371514002482,0.2580645161290322
-3.0499843756357827,0.3013698630136986
-3.300557772318522,0.1290322580645161
-3.2622127135594687,0.2807017543859649
-3.007755438486735,0.2631578947368421
-2.428846915562948,0.641025641025641
-2.444050073623657,0.5277777777777778
-3.636555075645447,0.2368421052631578
-3.3553278048833213,0.2131147540983606
-3.333831310272217,0.265625
-3.362056612968445,0.3134328358208955
-3.2473107179005942,0.3559322033898305
-3.0355144739151,0.2830188679245283
-2.9526705741882324,0.3870967741935484
-2.928730726242065,0.3636363636363636
-3.047361930211385,0.3673469387755101
-2.5829434792200723,0.40625
-3.0648770332336426,0.3673469387755101
-2.755276322364807,0.3793103448275862
-3.160499612490336,0.3174603174603174
-2.4727951288223267,0.4571428571428572
-2.728039582570394,0.5
-2.7441612482070923,0.6041666666666667
-3.0577959219614663,0.3392857142857143
-3.0063979228337607,0.2352941176470588
-2.2373661200205484,0.8181818181818181
-3.3326936960220337,0.2602739726027397
-3.0314669609069824,0.4038461538461538
-3.419970591862997,0.3055555555555556
-3.776435057322184,0.2073170731707316
-2.818679134051005,0.4285714285714286
-2.9797622760136924,0.4716981132075472
-2.991672158241272,0.4181818181818182
-3.8051701386769614,0.2916666666666666
-3.27029554049174,0.3220338983050848
-3.139503320058187,0.2058823529411765
-2.866690595944722,0.4047619047619047
-3.1444477637608848,0.4285714285714286
-2.963672161102295,0.4225352112676056
-3.384124676386515,0.2535211267605634
-2.2791254123051963,0.5428571428571429
-2.8953659931818643,0.4423076923076923
-3.604834079742432,0.25
-3.539923588434855,0.328125
-3.022185206413269,0.3333333333333333
-3.186564008394877,0.4107142857142857
-2.717727263768514,0.3555555555555555
-3.307451367378235,0.3295454545454546
-2.4268548488616943,0.40625
